location_id,location_name,parameter,value,unit,datetimeutc,datetimelocal,latitude,longitude
6112507,aq_g520,pm10,35.291632503422484,µg/m³,2025-11-29 14:00:00+00:00,2025-11-29 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,23.52450000000001,µg/m³,2025-11-29 14:00:00+00:00,2025-11-29 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,42.65054021497913,µg/m³,2025-11-30 06:00:00+00:00,2025-11-30 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,32.58479999999992,µg/m³,2025-11-30 06:00:00+00:00,2025-11-30 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,34.620005553108285,µg/m³,2025-11-30 09:00:00+00:00,2025-11-30 12:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,22.47269999999992,µg/m³,2025-11-30 09:00:00+00:00,2025-11-30 12:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,31.65788354859734,µg/m³,2025-11-30 10:00:00+00:00,2025-11-30 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,23.1858,µg/m³,2025-11-30 10:00:00+00:00,2025-11-30 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,22.31419999999997,µg/m³,2025-11-30 12:00:00+00:00,2025-11-30 15:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,31.793074149001452,µg/m³,2025-11-30 12:00:00+00:00,2025-11-30 15:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,47.59919999999991,µg/m³,2025-11-30 16:00:00+00:00,2025-11-30 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,56.675623381555184,µg/m³,2025-11-30 16:00:00+00:00,2025-11-30 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,65.47269999999989,µg/m³,2025-11-30 17:00:00+00:00,2025-11-30 20:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,75.09480381197196,µg/m³,2025-11-30 17:00:00+00:00,2025-11-30 20:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,83.0483,µg/m³,2025-11-30 19:00:00+00:00,2025-11-30 22:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,110.72493155599676,µg/m³,2025-11-30 19:00:00+00:00,2025-11-30 22:00:00+03:00,0.30991,32.60045
